address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
13TH ST / G ST,3,3A        ,725,459 PC  BURGLARY VEHICLE,2299,38.58245172,-121.4877874
1311 63RD ST,3,3C        ,847,459 PC  BURGLARY VEHICLE,2299,38.55645223,-121.4289124
4911 8TH AVE,6,6B        ,1035,POSS STOLEN VEHICLE- I RPT,7000,38.54470924,-121.4490342
3845 SEA FOREST WAY,5,5B        ,1618,487(A) GRAND THEFT-AUTO PARTS,2304,38.4625133,-121.4603514
2481 KRAMERIA AVE,1,1A        ,104,459 PC  BURGLARY RESIDENCE,2204,38.67660642,-121.5190467
6550 PARK RIVIERA WAY,4,4C        ,1261,594(B)(1)PC  VANDALISM +$400,2999,38.50751789,-121.5477443
2531 S ST,3,3B        ,778,594(B)(2)(A) VANDALISM/ -$400,2999,38.56502139,-121.4763254
6730 4TH AVE,6,6C        ,1111,484 PC  PETTY THEFT AUTO PART,2304,38.54783739,-121.4243203
200 BICENTENNIAL CIR,3,3C        ,1102,594(B)(2)(A) VANDALISM/ -$400,2999,38.55137298,-121.4061503
2311 RIVER PLAZA DR,1,1B        ,440,459 PC  BURGLARY VEHICLE,2299,38.60824476,-121.5192803
3251 SAN JOSE WAY,6,6A        ,1032,484 PC  PETTY THEFT/ OUTSIDE,2309,38.54468278,-121.4591392
12TH AVE / LISSETTA AVE,6,6A        ,1042,529 PC FALSE PERSONATION,2604,38.54118802,-121.459316
3345 MABEL ST,2,2B        ,531,11364 HS POSS DRUG PARAPH,3599,38.62769343,-121.4634451
1549 JANRICK AVE,5,5A        ,1501,459 PC  BURGLARY RESIDENCE,2204,38.47687825,-121.5002604
4108 WEYMOUTH LN,5,5B        ,1602,VANDALISM - I RPT,7000,38.48227523,-121.4584554
621 CLAIRE AVE,2,2A        ,203,459 PC  BURGLARY RESIDENCE,2204,38.66254563,-121.451289
930 43RD AVE,4,4C        ,1253,487(A) GRAND THEFT-AUTO PARTS,2304,38.51484622,-121.5249979
SAN JUAN RD / BANDON WAY,1,1B        ,401,496(A) RECEIVE STOLEN PROPERTY,2803,38.62743901,-121.5056249
24TH ST / TEEKAY WAY,5,5A        ,1504,11357(B)HS POSS -28.5GR MARIJ,3562,38.47663386,-121.4803303
BRUCEVILLE RD / CALVINE RD,5,5C        ,1654,TRAFFIC-ACCIDENT-NON INJURY,5400,38.44973707,-121.4180465
2912 CAMARILLO DR,1,1C        ,428,FOUND PROPERTY - I RPT,7000,38.61880719,-121.4796125
8461 TAMBOR WAY,5,5C        ,1654,594(B)(1)PC  VANDALISM +$400,2999,38.44803746,-121.4078016
6421 RIVERSIDE BLVD,4,4C        ,1262,459 PC  BURGLARY BUSINESS,2203,38.51042757,-121.5419071
7553 GREENHAVEN DR,4,4C        ,1296,459 PC  BURGLARY VEHICLE,2299,38.48243228,-121.514852
35TH ST / BROADWAY,6,6A        ,1013,NON INJ HR/MAIL OUT REPORT,7000,38.55155803,-121.4684935
15TH ST / C ST,3,3A        ,715,TOWED/STORED VEHICLE,7000,38.58612197,-121.48322
1595 SILICA AVE,2,2C        ,605,TOWED/STORED VEHICLE,7000,38.60879322,-121.4306804
ELIZA ST / LOUISE ST,3,3A        ,709,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.59444259,-121.4814732
1240 ALDER TREE WAY,4,4C        ,1296,10851(A)VC TAKE VEH W/O OWNER,2404,38.48369463,-121.515322
3205 42ND ST,6,6A        ,1034,459 PC  BURGLARY VEHICLE,2299,38.5454679,-121.4573325
1515 NORTH AVE,2,2A        ,505,11364 HS POSS DRUG PARAPH,3599,38.64036498,-121.4321298
2801 L ST,3,3B        ,748,484 PETTY THEFT/LICENSE PLATE,2399,38.57201606,-121.4692575
2628 27TH ST,4,4A        ,908,290(A)(1)(D) FAIL TO REG-5 DAY,3699,38.55531685,-121.4792852
3720 CYPRESS ST,2,2A        ,513,594(B)(1)VANDALISM GRAF +$400,2999,38.6358152,-121.4446434
ETHAN WAY / HALLMARK DR,2,2C        ,637,TRAFFIC-ACCIDENT-NON INJURY,5400,38.59156169,-121.4200242
4635 POWER INN RD,6,6C        ,1134,10851(A)VC TAKE VEH W/O OWNER,2404,38.53444222,-121.4079133
10TH ST / K ST,3,3M        ,744,11350(A)HS POSS CNTRL SUBST,3532,38.57920289,-121.493943
4TH AVE / REDDING AVE,6,6C        ,1114,TOWED/STORED VEHICLE,7000,38.54867149,-121.4230827
ROANOKE AVE / BELDEN ST,2,2A        ,514,10851 VC AUTO THEFT LOCATE,2404,38.63482334,-121.4416684
212 CHRISTINE DR,2,2B        ,541,290(A)(1)(D) FAIL TO REG-5 DAY,3699,38.62073056,-121.4618489
2351 NORTHGATE BLVD,1,1C        ,447,242 PC  BATTERY CIVILIAN,1313,38.60930026,-121.4770641
3251 NORTHGATE BLVD,1,1C        ,418,459 PC  BURGLARY VEHICLE,2299,38.62630755,-121.4756162
346 LINDLEY DR,2,2B        ,541,MISSING PERSON,7000,38.62073678,-121.4572951
2743 ALBATROSS WAY,2,2C        ,567,THREATS - I RPT,7000,38.61538617,-121.4234494
7060 ROCK CREEK WAY,6,6C        ,1422,MISSING PERSON,7000,38.51364018,-121.4211919
MABEL ST / FORD RD,2,2B        ,531,20001(A) VC HIT/RUN INJ/DEATH,5401,38.62866431,-121.4631893
MCNAMARA WAY / BENOIT CT,5,5B        ,1618,10851 VC AUTO THEFT LOCATE,2404,38.46252937,-121.4585038
RIO LINDA BLVD / CARMELITA AVE,2,2B        ,523,TRAFFIC-ACCIDENT-NON INJURY,5400,38.62968232,-121.446116
1328 D ST,3,3A        ,715,BATTERY - I RPT,7000,38.58514056,-121.4854381
BETTY WAY / CAMELLIA AVE,3,3C        ,872,20002(A) HIT/RUN,5401,38.57630105,-121.4319262
2156 CANTALIER ST,2,2C        ,613,MISSING PERSON,7000,38.60527526,-121.4516527
2300 G ST,3,3B        ,727,1708 US   THEFT OF MAIL,2310,38.57848338,-121.4742082
3824 12TH AVE,6,6A        ,1041,HARASSMENT - I RPT,7000,38.54102578,-121.4657714
HAVENSIDE DR / RIVERSIDE BLVD,4,4C        ,1251,11351.5 HS POSS SALE RCK COCAI,3532,38.51348202,-121.532542
W ST / 16TH ST,3,3A        ,785,TOWED/STORED VEH-14602.6,7000,38.56382548,-121.491401
1960 JOAN WAY,2,2C        ,606,10851 VC AUTO THEFT LOCATE,2404,38.60739495,-121.4205954
100 CAPITOL MALL,3,3M        ,751,10851(A)VC TAKE VEH W/O OWNER,2404,38.57962095,-121.5068273
2305 SANDCASTLE WAY,1,1B        ,444,530.5 PC USE PERSONAL ID INFO,2604,38.6089261,-121.4935886
132 OLMSTEAD DR,2,2B        ,531,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.62275189,-121.4642874
4780 NATOMAS BLVD,1,1A        ,145,459 PC  BURGLARY VEHICLE,2299,38.65941872,-121.5096441
RICHARDS BLVD / DOS RIOS ST,3,3A        ,709,487(A) PC GRAND THEFT,2303,38.59530776,-121.4839757
5255 MACK RD,5,5B        ,1604,20002(A) HIT/RUN,5401,38.47433302,-121.4398174
8775 CENTER PKWY,5,5C        ,1654,20002(A) HIT/RUN,5401,38.43840598,-121.4183343
8TH AVE / 44TH ST,6,6A        ,1034,215(A) PC    CARJACKING,1212,38.54454369,-121.4558291
1370 RESPONSE RD,2,2C        ,626,459 PC  BURGLARY VEHICLE,2299,38.59645425,-121.4382598
5016 12TH AVE,6,6B        ,1054,484 PC  PETTY THEFT/ OUTSIDE,2309,38.54061027,-121.4474575
8024 ELDER CREEK RD,6,6C        ,1445,602(K)TRESPASS:INJURE PROPERTY,5707,38.51007761,-121.4095726
1701 ARDEN WAY,2,2C        ,619,459 PC  BURGLARY BUSINESS,2203,38.60027317,-121.4252477
1690 ARDEN WAY,2,2C        ,628,459 PC  BURGLARY VEHICLE,2299,38.59808509,-121.4275537
DOS RIOS ST / RICHARDS BLVD,3,3A        ,709,11377(A)HS POSS AMPHETAMINES,3572,38.59530776,-121.4839757
65TH ST / ELVAS AVE,3,3C        ,847,TRAFFIC-ACCIDENT INJURY,5400,38.55614777,-121.4267606
3550 MARYSVILLE BLVD,2,2B        ,526,484 PETTY THEFT/LICENSE PLATE,2399,38.63228581,-121.4303283
CALVINE RD / BRUCEVILLE RD,5,5C        ,1654,TRAFFIC-ACCIDENT INJURY,5400,38.44973707,-121.4180465
1896 ARDEN WAY,2,2C        ,628,503 PC   EMBEZZLEMENT,2799,38.59664183,-121.423349
3927 MARYSVILLE BLVD,2,2A        ,505,459 PC  BURGLARY BUSINESS,2203,38.63931448,-121.4295789
5100 STOCKTON BLVD,6,6B        ,1084,10851(A)VC TAKE VEH W/O OWNER,2404,38.52823386,-121.4456482
1470 JANRICK AVE,5,5A        ,1501,242 PC  BATTERY CIVILIAN,1313,38.47602372,-121.5014051
5210 SHORTWAY DR,5,5C        ,1644,594(B)(2)(A) VANDALISM/ -$400,2999,38.45541339,-121.4420784
3RD ST / L ST,3,3M        ,742,20002(A) HIT/RUN,5401,38.58057689,-121.5036968
14TH ST / P ST,3,3A        ,765,TRAFFIC-ACCIDENT INJURY,5400,38.57218405,-121.4907608
2460 FLORIN RD,5,5A        ,1363,9.04.050 A DRINKING IN PUBLIC,7399,38.49543922,-121.4799768
1730 O ST,3,3B        ,766,459 PC  BURGLARY RESIDENCE,2204,38.57163324,-121.4854271
1421 OREGON DR,4,4A        ,964,TOWED/STORED VEHICLE,7000,38.52736754,-121.504668
5824 ANNRUD WAY,4,4C        ,1227,459 PC  BURGLARY RESIDENCE,2204,38.52062063,-121.5084967
ARCADE BLVD / CLAY ST,2,2B        ,545,TOWED/STORED VEH-14602.6,7000,38.62635393,-121.4392039
2415 L ST,3,3B        ,747,10851(A)VC TAKE VEH W/O OWNER,2404,38.57320247,-121.4747123
1831 CAPITOL AVE,3,3M        ,746,314.1 PC   INDECENT EXPOSURE,3605,38.57411723,-121.4827193
2668 STONECREEK DR,1,1B        ,435,10851(A)VC TAKE VEH W/O OWNER,2404,38.61421301,-121.4925571
3950 DEVELOPMENT DR,2,2A        ,510,THREATS - I RPT,7000,38.63939388,-121.4604896
1901 J ST,3,3B        ,736,459 PC  BURGLARY VEHICLE,2299,38.57725503,-121.4806992
GROVE AVE / ELEANOR AVE,2,2B        ,541,TOWED/STORED VEHICLE,7000,38.61692679,-121.4593506
3140 J ST,3,3C        ,841,459 PC  BURGLARY VEHICLE,2299,38.57218529,-121.4642683
113 K ST,3,3M        ,741,484 PC   PETTY THEFT/INSIDE,2308,38.58245363,-121.5052755
4700 FREEPORT BLVD,4,4A        ,956,487(A) PC GRAND THEFT,2303,38.53284086,-121.4959218
4331 STOCKTON BLVD,6,6B        ,1064,11364 HS POSS DRUG PARAPH,3599,38.53553572,-121.4468745
16TH ST / BROADWAY,4,4A        ,906,10851(A)VC TAKE VEH W/O OWNER,2404,38.56159185,-121.4923822
1701 O ST,3,3B        ,766,CASUALTY REPORT,7000,38.57240323,-121.4856804
NORTHGATE BLVD / W EL CAMINO AVE,1,1C        ,429,MISCELLANEOUS I RPT (ZMISC),7000,38.61124309,-121.4755625
SUTTERVILLE RD / FRANKLIN BLVD,4,4B        ,937,TRAFFIC-ACCIDENT INJURY,5400,38.54106323,-121.47576
2378 GROVE AVE,2,2C        ,602,10851(A)VC TAKE VEH W/O OWNER,2404,38.60986284,-121.4590542
3500 53RD ST,6,6B        ,1054,459 PC  BURGLARY RESIDENCE,2204,38.542611,-121.4443687
545 K ST,3,3M        ,742,459 PC  BURGLARY VEHICLE,2299,38.58052209,-121.4986248
211 HEMFORD CIR,5,5A        ,1502,PETTY THEFT - I RPT,7000,38.47764806,-121.4891676
4680 NATOMAS BLVD,1,1A        ,145,484 PC   PETTY THEFT/INSIDE,2308,38.65735092,-121.5102676
3555 AUBURN BLVD,2,2A        ,509,5150 WI DANGER SELF/OTHERS,7000,38.63862878,-121.3815598
ACACIA AVE / RIO LINDA BLVD,2,2B        ,544,TOWED/STORED VEH-14602.6,7000,38.62198839,-121.4461582
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
1253 ACACIA AVE,2,2B        ,545,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.62219451,-121.438211
HOWE AVE / FOLSOM BLVD,3,3C        ,1102,TRAFFIC-ACCIDENT-NON INJURY,5400,38.54940296,-121.4091389
725 SAN JUAN RD,1,1C        ,406,211 PC  ROBBERY UNSPECIFIED,1299,38.63040165,-121.4780296
6025 DIAS AVE,6,6B        ,1421,5150 WI DANGER SELF/OTHERS,7000,38.51332326,-121.4314836
3348 DRY BRANCH CT,1,1B        ,401,10851(A)VC TAKE VEH W/O OWNER,2404,38.62875561,-121.5085108
547 L ST,3,3M        ,742,10851(A)VC TAKE VEH W/O OWNER,2404,38.58184562,-121.5011657
47TH AVE / WOODBINE AVE,4,4B        ,1326,TOWED/STORED VEHICLE,7000,38.51030591,-121.4787921
1111 LOS ROBLES BLVD,2,2B        ,525,FAMILY DISTURBANCE - I RPT,7000,38.62982199,-121.4414625
700 K ST,3,3M        ,742,148.9 PC FALSE ID TO OFFICER,4803,38.57997771,-121.4978345
10 FIG LEAF CT,2,2A        ,212,MISSING PERSON,7000,38.65899218,-121.4600156
4400 TRUXEL RD,1,1A        ,307,459 PC  BURGLARY VEHICLE,2299,38.65023973,-121.5085026
4901 ALCOTT DR,6,6C        ,1142,10851(A)VC TAKE VEH W/O OWNER,2404,38.53114891,-121.4223993
2881 38TH AVE,4,4B        ,998,594(B)(2)(A) VANDALISM/ -$400,2999,38.51852,-121.475971
8256 VILLAGE CREEK WAY,5,5C        ,1642,10851(A)VC TAKE VEH W/O OWNER,2404,38.45790447,-121.437086
260 ODELL CIR,1,1A        ,116,459 PC  BURGLARY VEHICLE,2299,38.67549475,-121.4977777
7821 ALTA VALLEY DR,5,5C        ,1624,211 PC ROBBERY- BUSINESS,1299,38.47322263,-121.4250682
BELLEVIEW AVE / FRUITRIDGE RD,6,6C        ,1152,211 PC  ROBBERY UNSPECIFIED,1299,38.52507079,-121.4199387
1776 SOUTH AVE,2,2B        ,526,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.63253761,-121.4257122
2224 BELL AVE,2,2A        ,237,10851 VC AUTO THEFT LOCATE,2404,38.64688728,-121.4140661
7293 FARM DALE WAY,4,4C        ,1289,10851(A)VC TAKE VEH W/O OWNER,2404,38.49297696,-121.5071286
7661 SKIROS WAY,5,5B        ,1612,PROTECTIVE CUSTODY-I RPT,7000,38.47920034,-121.4638793
8TH ST / L ST,3,3M        ,742,PROTECTIVE CUSTODY-I RPT,7000,38.57881567,-121.4970836
2660 STONECREEK DR,1,1B        ,435,211 PC  ROBBERY UNSPECIFIED,1299,38.61402379,-121.4926144
YREKA AVE / CANYON TREE DR,4,4B        ,1356,211 PC  ROBBERY UNSPECIFIED,1299,38.49852712,-121.4742273
906 12TH ST,3,3M        ,734,CASUALTY REPORT,7000,38.58053662,-121.4906312
1861 GLENROSE AVE,2,2C        ,567,10851(A)VC TAKE VEH W/O OWNER,2404,38.61499899,-121.423449
19TH ST / P ST,3,3B        ,766,10851(A)VC TAKE VEH W/O OWNER,2404,38.5704109,-121.4841033
19TH ST / J ST,3,3M        ,736,CASUALTY REPORT,7000,38.57704873,-121.4812324
2451 MEADOWVIEW RD,5,5A        ,1396,CHILD WELFARE - I RPT,7000,38.48308908,-121.4790012
2828 AQUINO DR,1,1B        ,422,FOUND PROPERTY - I RPT,7000,38.61733037,-121.510595
NORTHGATE BLVD / RIO TIERRA AVE,1,1C        ,419,TRAFFIC-ACCIDENT INJURY,5400,38.62753184,-121.4755302
4500 TRUXEL RD,1,1A        ,306,459 PC  BURGLARY VEHICLE,2299,38.65357208,-121.5095127
300 CURRAN AVE,1,1C        ,429,484 PETTY THEFT CLOUT UNLOCKED,2305,38.6208506,-121.4700175
18TH ST / V ST W ST ALY,3,3A        ,785,11364 HS POSS DRUG PARAPH,3599,38.56363425,-121.4885101
757 ALAMOS AVE,2,2B        ,543,10851(A)VC TAKE VEH W/O OWNER,2404,38.62053806,-121.4489382
2304 OAKMONT ST,2,2C        ,603,11350(A)HS POSS CNTRL SUBST,3532,38.60765045,-121.4504831
1230 J ST,3,3M        ,744,487(A) GRAND THEFT-INSIDE,2308,38.57900945,-121.489911
NORTHGATE BLVD / SAN JUAN RD,1,1C        ,419,459 PC  BURGLARY VEHICLE,2299,38.6296517,-121.4755286
4940 MACK RD,5,5B        ,1621,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.4735803,-121.4443013
EDGEWATER RD / EL CAMINO AVE,2,2C        ,551,11377(A)HS POSS AMPHETAMINES,3572,38.61110308,-121.4618026
426 CLAIRE AVE,2,2A        ,203,CASUALTY REPORT,7000,38.66166376,-121.4558592
4101 INNOVATOR DR,1,1A        ,336,459 PC  BURGLARY VEHICLE,2299,38.64420903,-121.5129034
3962 3RD AVE,6,6A        ,1014,530.5 PC USE PERSONAL ID INFO,2604,38.54944953,-121.4614493
8025 WAGON TRAIL WAY,6,6C        ,1445,10851(A)VC TAKE VEH W/O OWNER,2404,38.50098733,-121.41042
412 ARCADE BLVD,2,2B        ,542,459 PC  BURGLARY VEHICLE,2299,38.62255411,-121.4560212
219 S ST,3,3A        ,772,484 PC-PETTY THEFT-COIN MACHIN,2307,38.57308322,-121.5075511
215 S ST,3,3A        ,772,484 PC-PETTY THEFT-COIN MACHIN,2307,38.57308322,-121.5075511
217 S ST,3,3A        ,772,484 PC-PETTY THEFT-COIN MACHIN,2307,38.57308322,-121.5075511
5720 HOLSTEIN WAY,4,4C        ,1227,459 PC  BURGLARY VEHICLE,2299,38.52186986,-121.5116968
1460 WOODRIDGE OAK WAY,1,1C        ,425,459 PC  BURGLARY VEHICLE,2299,38.61775373,-121.4947194
4782 KIT WAY,2,2A        ,222,484 PC   PETTY THEFT/INSIDE,2308,38.65467106,-121.4625907
1401 TIVERTON AVE,5,5A        ,1361,530.5 PC USE PERSONAL ID INFO,2604,38.49502703,-121.5030125
LAS PALMAS AVE / ALTOS AVE,2,2B        ,543,20002(A) HIT/RUN,5401,38.61867245,-121.4481266
8120 TIMBERLAKE WAY,5,5C        ,1639,TOWED/STORED VEH-14602.6,7000,38.46101961,-121.414127
7530 RUSH RIVER DR,4,4C        ,1292,211 PC  ROBBERY UNSPECIFIED,1299,38.48531018,-121.5356226
99 VILLAGE CIR,2,2A        ,238,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.64336682,-121.4216859
JIBBOOM ST / RICHARDS BLVD,3,3A        ,721,10851 VC AUTO THEFT LOCATE,2404,38.59667389,-121.5056982
1ST AVE / ALHAMBRA BLVD,6,6A        ,1011,12420 PC SELL/TRANSP TEAR GAS,5299,38.55513128,-121.4728661
5560 MCGLASHAN ST,6,6B        ,1084,594(B)(1)PC  VANDALISM +$400,2999,38.52512948,-121.4487903
19TH ST / CAPITOL AVE,3,3M        ,746,10851 VC AUTO THEFT LOCATE,2404,38.57372161,-121.4826732
6815 24TH ST,4,4B        ,1346,MISCELLANEOUS I RPT (ZMISC),7000,38.50290045,-121.4819248
4918 KOKOMO DR,1,1A        ,123,487(A) GRAND THEFT-CLOUT-UNLOC,2305,38.66172026,-121.527605
2412 E ST,3,3B        ,728,10851(A)VC TAKE VEH W/O OWNER,2404,38.58048952,-121.4715453
610 BERCUT DR,3,3A        ,701,459 PC  BURGLARY BUSINESS,2203,38.60055347,-121.4985749
7767 LA RIVIERA DR,3,3C        ,888,459 PC  BURGLARY VEHICLE,2299,38.55463027,-121.4116414
23RD ST / CAPITOL AVE,3,3B        ,747,11364 HS POSS DRUG PARAPH,3599,38.5722972,-121.4773354
4673 DANROTH DR,2,2A        ,222,459 PC  BURGLARY VEHICLE,2299,38.65300918,-121.4618713
1245 27TH AVE,4,4A        ,1208,594(B)(1)PC  VANDALISM +$400,2999,38.52845688,-121.5128857
1470 MATHEWS WAY,5,5A        ,1371,THREATS - I RPT,7000,38.48972495,-121.5024485
715 L ST,3,3M        ,742,211 PC  ROBBERY UNSPECIFIED,1299,38.57905171,-121.4976906
6230 GREENHAVEN DR,4,4C        ,1265,10851 VC AUTO THEFT LOCATE,2404,38.51382164,-121.5269234
1045 GRAND AVE,2,2A        ,504,594(B)(1)PC  VANDALISM +$400,2999,38.63684482,-121.4423353
1824 DAWNELLE WAY,1,1A        ,106,487(A) PC GRAND THEFT,2303,38.68251335,-121.5015993
950 ELEANOR AVE,2,2B        ,563,BATTERY - I RPT,7000,38.61586018,-121.4445924
4555 FRANCIS CT,4,4A        ,956,187(A)  HOMICIDE,999,38.53402736,-121.4978746
4555 FRANCIS CT,4,4A        ,956,MISSING PERSON,7000,38.53402736,-121.4978746
2170 20TH AVE,4,4A        ,957,ACCIDENTAL FIRES/ARSON -I RPT,7000,38.53432365,-121.488409
3900 ROSEVILLE RD,2,2A        ,507,10851(A)VC TAKE VEH W/O OWNER,2404,38.63908268,-121.4042501
416 28TH ST,3,3B        ,718,5150 WI DANGER SELF/OTHERS,7000,38.57984491,-121.4669044
3800 DIDCOT CIR,2,2A        ,501,459 PC  BURGLARY RESIDENCE,2204,38.63535473,-121.4622882
TRUXEL RD / I 80 EB,1,1B        ,402,496(A) RECEIVE STOLEN PROPERTY,2803,38.63365507,-121.500334
8531 THYS CT,6,6C        ,1411,BUSINESS PERMITS - I RPT,7000,38.51928736,-121.3889165
BROADWAY / 20TH ST,4,4A        ,907,TOWED/STORED VEHICLE,7000,38.56010621,-121.4867588
7024 MAITA CIR,6,6C        ,1112,459 PC  BURGLARY RESIDENCE,2204,38.5404985,-121.4212258
3526 37TH ST,6,6A        ,1041,594(B)(2)(A) VANDALISM/ -$400,2999,38.54219716,-121.4673115
61ST ST / 19TH AVE,6,6B        ,1067,10851 VC AUTO THEFT LOCATE,2404,38.53494151,-121.4335978
7767 21ST AVE,6,6C        ,1132,10851(A)VC TAKE VEH W/O OWNER,2404,38.53243835,-121.4139778
5303 FRANKLIN BLVD,4,4B        ,969,FOUND PROPERTY - I RPT,7000,38.52718667,-121.4712477
3180 GUADALAJARA WAY,1,1B        ,353,459 PC  BURGLARY VEHICLE,2299,38.62688953,-121.5279374
N B ST / N 7TH ST,3,3A        ,705,TRAFFIC-ACCIDENT INJURY,5400,38.5923559,-121.4926811
1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS,2203,38.61199425,-121.4244182
48 ROSE MEAD CIR,4,4C        ,1289,484G(B) PC ACCESS CARD FRAUD,2605,38.49397262,-121.5075131
1671 PEBBLEWOOD DR,1,1B        ,412,484 PETTY THEFT/LICENSE PLATE,2399,38.62145778,-121.49973
SELMA ST / DIXIEANNE AVE,2,2C        ,604,10851 VC AUTO THEFT LOCATE,2404,38.60929375,-121.4404159
10TH ST / K ST,3,3M        ,744,11357(B)HS POSS -28.5GR MARIJ,3562,38.57920289,-121.493943
27TH ST / E ST,3,3B        ,718,TRAFFIC-ACCIDENT INJURY,5400,38.57965854,-121.4681757
4520 BROOKFIELD DR,5,5B        ,1603,TOWED/STORED VEHICLE,7000,38.48235122,-121.4506994
POCKET RD / COLEMAN RANCH WAY,4,4C        ,1294,TRAFFIC-ACCIDENT INJURY,5400,38.47704073,-121.5231254
BANDON WAY / DEVRI CT,1,1B        ,411,FOUND PROPERTY - I RPT,7000,38.62612259,-121.5047204
CENTER PKWY / LERNER WAY,5,5B        ,1605,TOWED/STORED VEH-14602.6,7000,38.4797218,-121.440072
14TH ST / J ST,3,3M        ,735,TOWED/STORED VEH-14602.6,7000,38.57882476,-121.4878834
15 BUSINESS PARK WAY,6,6C        ,1407,10851 VC AUTO THEFT LOCATE,2404,38.51839666,-121.3965716
780 GREG THATCH CIR,1,1A        ,102,10851(A)VC TAKE VEH W/O OWNER,2404,38.67803627,-121.5363804
4500 TYNEBOURNE ST,1,1A        ,304,594(B)(2)(A) VANDALISM/ -$400,2999,38.65333642,-121.5363135
7231 GREENHAVEN DR,4,4C        ,1287,SUSP PERS-NO CRIME - I RPT,7000,38.49417981,-121.5235386
3900 ROSEVILLE RD,2,2A        ,507,10851(A)VC TAKE VEH W/O OWNER,2404,38.63908268,-121.4042501
5TH ST / J ST,3,3M        ,732,TOWED/STORED VEH-14602.6,7000,38.58207989,-121.5000936
1028 LAKE GLEN WAY,4,4C        ,1225,10851 VC AUTO THEFT LOCATE,2404,38.51896869,-121.5205386
1701 ARDEN WAY,2,2C        ,619,10851(A)VC TAKE VEH W/O OWNER,2404,38.60027317,-121.4252477
10TH AVE / 34TH ST,6,6A        ,1041,20002(A) HIT/RUN,5401,38.54264475,-121.4703011
4969 TORONTO WAY,6,6C        ,1133,484 PETTY THEFT CLOUT UNLOCKED,2305,38.53069117,-121.4105872
1904 HELENA AVE,2,2C        ,567,530.5 PC USE PERSONAL ID INFO,2604,38.616307,-121.4225354
3916 BELDEN ST,2,2A        ,504,484G(B) PC ACCESS CARD FRAUD,2605,38.63909731,-121.4413653
7060 ROCK CREEK WAY,6,6C        ,1422,530.5 PC USE PERSONAL ID INFO,2604,38.51364018,-121.4211919
5241 9TH AVE,6,6B        ,1035,LOST PROPERTY - I RPT,7000,38.54368712,-121.4443079
NORTHGATE BLVD / JEFFERSON AVE,1,1C        ,449,TOWED/STORED VEH-14602.6,7000,38.60672341,-121.4755923
2951 LOGANSPORT DR,1,1A        ,123,459 PC  BURGLARY RESIDENCE,2204,38.66321971,-121.5276476
FRANKLIN BLVD / 11TH AVE,4,4A        ,937,9.04.070 URINATE/DEFECATE PUB,7399,38.54242538,-121.4757955
TORRANCE AVE / 32ND ST,5,5A        ,1387,TOWED/STORED VEH-14602.6,7000,38.4876828,-121.4716869
1800 2ND ST,3,3A        ,772,487(A) PC GRAND THEFT,2303,38.5740577,-121.5081215
55 QUASAR CIR,5,5A        ,1363,CASUALTY REPORT,7000,38.49442501,-121.4749039
H ST / 50TH ST,3,3C        ,825,TOWED/STORED VEHICLE,7000,38.56940412,-121.4417047
2420 S ST,3,3B        ,778,10851 VC AUTO THEFT LOCATE,2404,38.56480438,-121.4781317
2681 FAIRFIELD ST,2,2B        ,552,10851 VC AUTO THEFT LOCATE,2404,38.6161168,-121.4529308
4830 J ST,3,3C        ,845,TOWED/STORED VEHICLE,7000,38.56654113,-121.4436297
21ST ST / I ST J ST ALY,3,3B        ,737,TOWED/STORED VEHICLE,7000,38.57688189,-121.4783232
316 ROUNDTREE CT,4,4C        ,1264,487(A) GRAND THEFT-INSIDE,2308,38.50336488,-121.5391044
8TH ST / K ST,3,3M        ,742,TOWED/STORED VEHICLE,7000,38.57991197,-121.4966071
BROOKFIELD DR / TEAK CT,5,5B        ,1399,TOWED/STORED VEH-14602.6,7000,38.48155327,-121.4608538
3581 TAYLOR ST,2,2B        ,522,422 PC THREAT/INTENT TO TERROR,1602,38.63252107,-121.4529344
2541 ALBATROSS WAY,2,2C        ,568,TOWED/STORED VEHICLE,7000,38.61186919,-121.4235653
33RD ST / 12TH AVE,6,6A        ,1041,TRAFFIC-ACCIDENT-NON INJURY,5400,38.54121247,-121.4711438
SANDBURG DR / CAMELLIA AVE,3,3C        ,879,TOWED/STORED VEHICLE,7000,38.57024299,-121.4262591
8545 FOLSOM BLVD,3,3C        ,1116,594(B)(1)PC  VANDALISM +$400,2999,38.54988284,-121.3883992
5400 RALEY BLVD,2,2A        ,206,10851(A)VC TAKE VEH W/O OWNER,2404,38.66583461,-121.4267572
575 DISPLAY WAY,2,2A        ,511,10851(A)VC TAKE VEH W/O OWNER,2404,38.64006189,-121.4530341
701 12TH ST,3,3A        ,725,484 PC PETTY THEFT,2399,38.58249661,-121.4892459
