"Number","Name","Generation","About","Types__001","Types__002","Resistant__001","Resistant__002","Resistant__003","Resistant__004","Resistant__005","Resistant__006","Resistant__007","Resistant__008","Resistant__009","Resistant__010","Resistant__011","Resistant__012","Weaknesses__001","Weaknesses__002","Weaknesses__003","Weaknesses__004","Weaknesses__005","Weaknesses__006","Weaknesses__007","Fast Attack(s)__Name","Fast Attack(s)__Type","Fast Attack(s)__Damage","Special Attack(s)__Name","Special Attack(s)__Type","Special Attack(s)__Damage","Weight__Minimum","Weight__Maximum","Height__Minimum","Height__Maximum","Buddy Distance","Base Stamina","Base Attack","Base Defense","Base Flee Rate","Pokèmon Class","MYTHIC","LEGENDARY","Common Capture Area","North America","Western Europe","Australia, New Zealand","Asia","Previous evolution(s)__Number","Previous evolution(s)__Name","Next Evolution Requirements__Amount","Next Evolution Requirements__Name","Next evolution(s)__Number","Next evolution(s)__Name","MaxCP","MaxHP"
"036","Clefable","Generation I","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step even lets it walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","Fairy","","Fighting","Bug","Dragon","Dark","","","","","","","","","Poison","Steel","","","","","","Pound","Normal","7","Dazzling Gleam","Fairy","55","35kg","45kg","1.14m","1.46m","1km (Big)","190 stamina points.","178 attack points.","171 defense points.","6% chance to flee.","","","","","","","","","173","Cleffa","","","","","2217","2397"
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Moonblast","Fairy","85","","","","","","","","","","","","","","","","","","35","Clefairy","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"037","Vulpix","Generation I","At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its trainer. The six tails become magnificently curled.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Body Slam","Normal","40","8.66kg","11.14kg","0.53m","0.68m","3km (Medium)","76 stamina points.","96 attack points.","122 defense points.","10% chance to flee.","","","","","","","","","","","50","Vulpi","38","Ninetales","725","831"
"","","","","","","","","","","","","","","","","","","","","","","","","","Quick Attack","Normal","10","Flame Charge","Fire","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"038","Ninetales","Generation I","Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pokémon is said to live for one thousand years.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Fire Blast","Fire","100","17.41kg","22.39kg","0.96m","1.24m","3km (Big)","146 stamina points.","169 attack points.","204 defense points.","6% chance to flee.","","","","","","","","","37","Vulpix","","","","","2015","2188"
"","","","","","","","","","","","","","","","","","","","","","","","","","Feint Attack","Dark","12","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Heat Wave","Fire","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"039","Jigglypuff","Generation I","Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pokémon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.","Normal","Fairy","Bug","Ghost","Dragon","Dark","","","","","","","","","Poison","Steel","","","","","","Feint Attack","Dark","12","Body Slam","Normal","40","4.81kg","6.19kg","0.44m","0.56m","1km (Medium)","230 stamina points.","80 attack points.","44 defense points.","10% chance to flee.","","","","","","","","","174","Igglybuff","50","Jigglypuff candies","40","Wigglytuff","796","917"
"","","","","","","","","","","","","","","","","","","","","","","","","","Pound","Normal","7","Dazzling Gleam","Fairy","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disarming Voice","Fairy","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"040","Wigglytuff","Generation I","Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon's eyes, it is quickly washed away.","Normal","Fairy","Bug","Ghost","Dragon","Dark","","","","","","","","","Poison","Steel","","","","","","Feint Attack","Dark","12","Dazzling Gleam","Fairy","55","10.5kg","13.5kg","0.88m","1.13m","1km (Big)","280 stamina points.","156 attack points.","93 defense points.","6% chance to flee.","","","","","","","","","174","Igglybuff","","","","","1997","2177"
"","","","","","","","","","","","","","","","","","","","","","","","","","Pound","Normal","7","Hyper Beam","Normal","120","","","","","","","","","","","","","","","","","","39","Jigglypuff","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Play Rough","Fairy","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"041","Zubat","Generation I","Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.","Poison","Flying","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Electric","Ice","Psychic","Rock","","","","Bite","Dark","6","Air Cutter","Flying","30","6.56kg","8.44kg","0.7m","0.9m","1km (Flying)","80 stamina points.","83 attack points.","76 defense points.","20% chance to flee.","","","","","","","","","","","50","Zubat candies","42","Golbat","550","642"
"","","","","","","","","","","","","","","","","","","","","","","","","","Quick Attack","Normal","10","Poison Fang","Poison","25","","","","","","","","","","","","","","","","","","","","","","169","Crobat","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"042","Golbat","Generation I","Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood.","Poison","Flying","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Electric","Ice","Psychic","Rock","","","","Bite","Dark","6","Air Cutter","Flying","30","48.13kg","61.88kg","1.4m","1.8m","1km (Flying)","150 stamina points.","161 attack points.","153 defense points.","7% chance to flee.","","","","","","","","","41","Zubat","","","169","Crobat","1760","1921"
"","","","","","","","","","","","","","","","","","","","","","","","","","Wing Attack","Flying","9","Ominous Wind","Ghost","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poison Fang","Poison","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"043","Oddish","Generation I","During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.","Grass","Poison","Water","Electric","Grass","Fighting","Fairy","","","","","","","","Fire","Ice","Flying","Psychic","","","","Acid","Poison","10","Moonblast","Fairy","85","4.73kg","6.08kg","0.44m","0.56m","3km (Medium)","90 stamina points.","131 attack points.","116 defense points.","15% chance to flee.","","","","","","","","","","","25","Oddish candies","44","Gloom","1023","1148"
"","","","","","","","","","","","","","","","","","","","","","","","","","Razor Leaf","Grass","15","Seed Bomb","Grass","40","","","","","","","","","","","","","","","","","","","","","","45","Vileplume","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","182","Bellossom","",""
"044","Gloom","Generation I","Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.","Grass","Poison","Water","Electric","Grass","Fighting","Fairy","","","","","","","","Fire","Ice","Flying","Psychic","","","","Acid","Poison","10","Moonblast","Fairy","85","7.53kg","9.68kg","0.7m","0.9m","3km (Medium)","120 stamina points.","153 attack points.","139 defense points.","7% chance to flee.","","","","","","","","","43","Oddish","100","Oddish candies","45","Vileplume","1537","1689"
"","","","","","","","","","","","","","","","","","","","","","","","","","Razor Leaf","Grass","15","Petal Blizzard","Grass","65","","","","","","","","","","","","","","","","","","","","","","182","Bellossom","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"045","Vileplume","Generation I","Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.","Grass","Poison","Water","Electric","Grass","Fighting","Fairy","","","","","","","","Fire","Ice","Flying","Psychic","","","","Acid","Poison","10","Moonblast","Fairy","85","16.28kg","20.93kg","1.05m","1.35m","3km (Big)","150 stamina points.","202 attack points.","170 defense points.","5% chance to flee.","","","","","","","","","43","Oddish","","","","","2307","2492"
"","","","","","","","","","","","","","","","","","","","","","","","","","Razor Leaf","Grass","15","Petal Blizzard","Grass","65","","","","","","","","","","","","","","","","","","44","Gloom","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solar Beam","Grass","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"046","Paras","Generation I","Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.","Bug","Grass","Water","Electric","Grass","Fighting","Ground","","","","","","","","Fire","Ice","Poison","Flying","Bug","Rock","","Bug Bite","Bug","5","Cross Poison","Poison","25","4.73kg","6.08kg","0.26m","0.34m","3km (Medium)","70 stamina points.","121 attack points.","99 defense points.","15% chance to flee.","","","","","","","","","","","50","Paras candies","47","Parasect","804","916"
"","","","","","","","","","","","","","","","","","","","","","","","","","Scratch","Normal","6","Seed Bomb","Grass","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","X Scissor","Bug","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"047","Parasect","Generation I","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.","Bug","Grass","Water","Electric","Grass","Fighting","Ground","","","","","","","","Fire","Ice","Poison","Flying","Bug","Rock","","Bug Bite","Bug","5","Cross Poison","Poison","25","25.81kg","33.19kg","0.88m","1.13m","3km (Medium)","120 stamina points.","165 attack points.","146 defense points.","7% chance to flee.","","","","","","","","","46","Paras","","","","","1592","1747"
"","","","","","","","","","","","","","","","","","","","","","","","","","Fury Cutter","Bug","3","Solar Beam","Grass","120","","","","","","","","","","","","","","","","","","","","","","","","",""
